course_number,course_name,terms,link
Math 115,College Algebra,"Fall 2019",
Math 120,Elementary Statistics,"Spring 2020, Fall 2020, Fall 2024",
Math 338,Statistics Applied to Natural Science,"Spring 2021, Fall 2024",https://csuf-math338.netlify.app
